0,lam,alp,N,T
3.9919352531433105,0.04,0.01,100,500
3.995553970336914,0.04,0.01,100,500
4.001053333282471,0.04,0.01,100,500
4.011470317840576,0.04,0.01,100,500
4.009664058685303,0.04,0.01,100,500
4.017989635467529,0.04,0.01,100,500
4.014321804046631,0.04,0.01,100,500
4.018803596496582,0.04,0.01,100,500
4.014753341674805,0.04,0.01,100,500
4.011845588684082,0.04,0.01,100,500
4.018800258636475,0.04,0.01,100,500
4.028919696807861,0.04,0.01,100,500
4.040289402008057,0.04,0.01,100,500
4.048610210418701,0.04,0.01,100,500
4.058625221252441,0.04,0.01,100,500
4.074481010437012,0.04,0.01,100,500
4.077386379241943,0.04,0.01,100,500
4.087188243865967,0.04,0.01,100,500
4.102007865905762,0.04,0.01,100,500
4.109681129455566,0.04,0.01,100,500
4.121485710144043,0.04,0.01,100,500
4.1168622970581055,0.04,0.01,100,500
4.126790523529053,0.04,0.01,100,500
4.133723258972168,0.04,0.01,100,500
4.14008092880249,0.04,0.01,100,500
4.146946907043457,0.04,0.01,100,500
4.165175437927246,0.04,0.01,100,500
4.17242956161499,0.04,0.01,100,500
4.177765369415283,0.04,0.01,100,500
4.194024562835693,0.04,0.01,100,500
4.20574951171875,0.04,0.01,100,500
4.213589191436768,0.04,0.01,100,500
4.218543529510498,0.04,0.01,100,500
4.22821044921875,0.04,0.01,100,500
4.220733165740967,0.04,0.01,100,500
4.2304182052612305,0.04,0.01,100,500
4.241893768310547,0.04,0.01,100,500
4.257472038269043,0.04,0.01,100,500
4.276449203491211,0.04,0.01,100,500
4.284053802490234,0.04,0.01,100,500
4.303359508514404,0.04,0.01,100,500
4.31777286529541,0.04,0.01,100,500
4.324936866760254,0.04,0.01,100,500
4.344356536865234,0.04,0.01,100,500
4.359585285186768,0.04,0.01,100,500
4.365573883056641,0.04,0.01,100,500
4.383575916290283,0.04,0.01,100,500
4.3923821449279785,0.04,0.01,100,500
4.402559280395508,0.04,0.01,100,500
4.419012546539307,0.04,0.01,100,500
4.4328131675720215,0.04,0.01,100,500
