M,T,K,epsilon,result
400,1.0,5,0.65,1.0
400,1.0,5,0.75,1.0
450,0.55,5,0.5,0.326
450,0.6,5,0.5,0.72
450,0.65,5,0.5,0.946
450,0.7,5,0.5,0.994
450,0.7,5,0.65,0.28
450,0.75,5,0.5,1.0
450,0.75,5,0.65,0.744
450,0.8,5,0.5,1.0
450,0.8,5,0.65,0.968
450,0.8,5,0.75,0.312
450,0.85,5,0.5,1.0
450,0.85,5,0.65,1.0
450,0.85,5,0.75,0.778
450,0.9,5,0.5,1.0
450,0.9,5,0.65,1.0
450,0.9,5,0.75,0.988
450,0.95,5,0.5,1.0
450,0.95,5,0.65,1.0
450,0.95,5,0.75,1.0
450,1.0,5,0.5,1.0
450,1.0,5,0.65,1.0
450,1.0,5,0.75,1.0
500,0.55,5,0.5,0.274
500,0.6,5,0.5,0.728
500,0.65,5,0.5,0.95
500,0.7,5,0.5,0.998
500,0.7,5,0.65,0.346
500,0.75,5,0.5,1.0
500,0.75,5,0.65,0.786
500,0.8,5,0.5,1.0
500,0.8,5,0.65,0.98
500,0.8,5,0.75,0.338
500,0.85,5,0.5,1.0
500,0.85,5,0.65,1.0
500,0.85,5,0.75,0.842
500,0.9,5,0.5,1.0
500,0.9,5,0.65,1.0
500,0.9,5,0.75,0.998
500,0.95,5,0.5,1.0
500,0.95,5,0.65,1.0
500,0.95,5,0.75,1.0
500,1.0,5,0.5,1.0
500,1.0,5,0.65,1.0
500,1.0,5,0.75,1.0
1000,0.55,5,0.5,0.452
1000,0.6,5,0.5,0.906
1000,0.65,5,0.5,1.0
1000,0.7,5,0.5,1.0
1000,0.7,5,0.65,0.502
1000,0.75,5,0.5,1.0
1000,0.75,5,0.65,0.976
1000,0.8,5,0.5,1.0
1000,0.8,5,0.65,1.0
1000,0.8,5,0.75,0.49
1000,0.85,5,0.5,1.0
1000,0.85,5,0.65,1.0
1000,0.85,5,0.75,0.954
1000,0.9,5,0.5,1.0
1000,0.9,5,0.65,1.0
1000,0.9,5,0.75,1.0
1000,0.95,5,0.5,1.0
1000,0.95,5,0.65,1.0
1000,0.95,5,0.75,1.0
1000,1.0,5,0.5,1.0
1000,1.0,5,0.65,1.0
1000,1.0,5,0.75,1.0
