M,T,K,epsilon,result
450,0.2,5,0.5,60
450,0.2,5,0.65,0
450,0.2,5,0.75,0
450,0.25,5,0.5,41
450,0.25,5,0.65,2
450,0.25,5,0.75,0
450,0.3,5,0.5,20
450,0.3,5,0.65,0
450,0.3,5,0.75,0
450,0.35,5,0.5,10
450,0.35,5,0.65,0
450,0.35,5,0.75,0
450,0.4,5,0.5,3
450,0.4,5,0.65,0
450,0.4,5,0.75,0
450,0.45,5,0.5,2
450,0.45,5,0.65,0
450,0.45,5,0.75,0
450,0.5,5,0.5,40
450,0.5,5,0.65,0
450,0.5,5,0.75,0
450,0.55,5,0.65,0
450,0.55,5,0.75,0
450,0.6,5,0.65,0
450,0.6,5,0.75,0
450,0.65,5,0.65,23
450,0.65,5,0.75,0
450,0.67,5,0.75,0
450,0.7,5,0.75,0
450,0.75,5,0.75,30
