M,T,K,epsilon,result
500,0.8,2,0.65,1.0
500,0.8,2,0.75,0.99
500,0.85,2,0.65,1.0
500,0.85,2,0.75,1.0
500,0.9,2,0.65,1.0
500,0.9,2,0.75,1.0
500,0.95,2,0.65,1.0
500,0.95,2,0.75,1.0
500,1.0,2,0.65,1.0
500,1.0,2,0.75,1.0
1000,0.7,2,0.65,0.98
1000,0.75,2,0.65,1.0
1000,0.8,2,0.65,1.0
1000,0.8,2,0.75,0.99
1000,0.85,2,0.65,1.0
1000,0.85,2,0.75,1.0
1000,0.9,2,0.65,1.0
1000,0.9,2,0.75,1.0
1000,0.95,2,0.65,1.0
1000,0.95,2,0.75,1.0
1000,1.0,2,0.65,1.0
1000,1.0,2,0.75,1.0
