0,lam,alp,N,T
2.0021541118621826,0.02,0.01,100,500
2.001948356628418,0.02,0.01,100,500
2.00835919380188,0.02,0.01,100,500
2.0041770935058594,0.02,0.01,100,500
2.0020792484283447,0.02,0.01,100,500
2.00372052192688,0.02,0.01,100,500
2.0014913082122803,0.02,0.01,100,500
2.0003771781921387,0.02,0.01,100,500
2.007059097290039,0.02,0.01,100,500
2.0077896118164062,0.02,0.01,100,500
2.007749319076538,0.02,0.01,100,500
2.001558542251587,0.02,0.01,100,500
1.9975895881652832,0.02,0.01,100,500
1.9945391416549683,0.02,0.01,100,500
1.9944984912872314,0.02,0.01,100,500
2.002190113067627,0.02,0.01,100,500
2.0037198066711426,0.02,0.01,100,500
2.0077826976776123,0.02,0.01,100,500
2.0085091590881348,0.02,0.01,100,500
2.003380060195923,0.02,0.01,100,500
2.005800724029541,0.02,0.01,100,500
2.0186259746551514,0.02,0.01,100,500
2.0255119800567627,0.02,0.01,100,500
2.030949831008911,0.02,0.01,100,500
2.037292957305908,0.02,0.01,100,500
2.039660930633545,0.02,0.01,100,500
2.0402519702911377,0.02,0.01,100,500
2.047170877456665,0.02,0.01,100,500
2.0471537113189697,0.02,0.01,100,500
2.050471305847168,0.02,0.01,100,500
2.0633418560028076,0.02,0.01,100,500
2.0712432861328125,0.02,0.01,100,500
2.0769739151000977,0.02,0.01,100,500
2.084488868713379,0.02,0.01,100,500
2.0868005752563477,0.02,0.01,100,500
2.0928709506988525,0.02,0.01,100,500
2.0947694778442383,0.02,0.01,100,500
2.1014528274536133,0.02,0.01,100,500
2.110133171081543,0.02,0.01,100,500
2.1183226108551025,0.02,0.01,100,500
2.122502565383911,0.02,0.01,100,500
2.1313650608062744,0.02,0.01,100,500
2.131970167160034,0.02,0.01,100,500
2.1331424713134766,0.02,0.01,100,500
2.1427297592163086,0.02,0.01,100,500
2.1513679027557373,0.02,0.01,100,500
2.159512996673584,0.02,0.01,100,500
2.163132667541504,0.02,0.01,100,500
2.1609838008880615,0.02,0.01,100,500
2.165983200073242,0.02,0.01,100,500
2.1686758995056152,0.02,0.01,100,500
2.171538829803467,0.02,0.01,100,500
2.182382822036743,0.02,0.01,100,500
2.1834847927093506,0.02,0.01,100,500
2.1949191093444824,0.02,0.01,100,500
2.2062134742736816,0.02,0.01,100,500
2.208890199661255,0.02,0.01,100,500
2.2161476612091064,0.02,0.01,100,500
2.2211601734161377,0.02,0.01,100,500
2.2260007858276367,0.02,0.01,100,500
2.2263193130493164,0.02,0.01,100,500
2.234261989593506,0.02,0.01,100,500
2.2414512634277344,0.02,0.01,100,500
2.252441883087158,0.02,0.01,100,500
2.257610559463501,0.02,0.01,100,500
2.2610929012298584,0.02,0.01,100,500
2.2716336250305176,0.02,0.01,100,500
2.274423360824585,0.02,0.01,100,500
2.275972843170166,0.02,0.01,100,500
2.283034086227417,0.02,0.01,100,500
2.2910585403442383,0.02,0.01,100,500
2.2996175289154053,0.02,0.01,100,500
2.307924747467041,0.02,0.01,100,500
2.3151230812072754,0.02,0.01,100,500
2.3182923793792725,0.02,0.01,100,500
2.3286170959472656,0.02,0.01,100,500
2.3342225551605225,0.02,0.01,100,500
2.3358700275421143,0.02,0.01,100,500
2.339618444442749,0.02,0.01,100,500
2.3438339233398438,0.02,0.01,100,500
2.3543200492858887,0.02,0.01,100,500
2.358062744140625,0.02,0.01,100,500
2.36453914642334,0.02,0.01,100,500
2.3694911003112793,0.02,0.01,100,500
2.3769731521606445,0.02,0.01,100,500
2.3839428424835205,0.02,0.01,100,500
2.3902549743652344,0.02,0.01,100,500
2.397096633911133,0.02,0.01,100,500
2.4091124534606934,0.02,0.01,100,500
2.421203374862671,0.02,0.01,100,500
2.4233062267303467,0.02,0.01,100,500
2.4352028369903564,0.02,0.01,100,500
2.44084095954895,0.02,0.01,100,500
2.4519221782684326,0.02,0.01,100,500
2.4594132900238037,0.02,0.01,100,500
2.4646430015563965,0.02,0.01,100,500
2.469712972640991,0.02,0.01,100,500
2.477243185043335,0.02,0.01,100,500
2.4811341762542725,0.02,0.01,100,500
2.4825439453125,0.02,0.01,100,500
2.489471435546875,0.02,0.01,100,500
2.4963340759277344,0.02,0.01,100,500
2.5093817710876465,0.02,0.01,100,500
2.5146374702453613,0.02,0.01,100,500
2.519216775894165,0.02,0.01,100,500
2.52777361869812,0.02,0.01,100,500
2.5320849418640137,0.02,0.01,100,500
2.5405333042144775,0.02,0.01,100,500
2.5459799766540527,0.02,0.01,100,500
2.5510811805725098,0.02,0.01,100,500
2.5563035011291504,0.02,0.01,100,500
2.5634007453918457,0.02,0.01,100,500
2.569023370742798,0.02,0.01,100,500
2.5761921405792236,0.02,0.01,100,500
2.5894930362701416,0.02,0.01,100,500
2.600287914276123,0.02,0.01,100,500
2.6101303100585938,0.02,0.01,100,500
2.6246306896209717,0.02,0.01,100,500
2.633537769317627,0.02,0.01,100,500
2.6478829383850098,0.02,0.01,100,500
2.648552417755127,0.02,0.01,100,500
2.6591320037841797,0.02,0.01,100,500
2.6654536724090576,0.02,0.01,100,500
2.673184394836426,0.02,0.01,100,500
2.6803340911865234,0.02,0.01,100,500
2.685533046722412,0.02,0.01,100,500
2.6935250759124756,0.02,0.01,100,500
2.700963258743286,0.02,0.01,100,500
2.708591938018799,0.02,0.01,100,500
2.7202224731445312,0.02,0.01,100,500
2.7358357906341553,0.02,0.01,100,500
2.7392754554748535,0.02,0.01,100,500
2.7488036155700684,0.02,0.01,100,500
2.748016595840454,0.02,0.01,100,500
2.7537896633148193,0.02,0.01,100,500
2.7620105743408203,0.02,0.01,100,500
2.7736668586730957,0.02,0.01,100,500
2.78216814994812,0.02,0.01,100,500
2.7922239303588867,0.02,0.01,100,500
2.803043842315674,0.02,0.01,100,500
2.814741611480713,0.02,0.01,100,500
2.822634220123291,0.02,0.01,100,500
2.8291208744049072,0.02,0.01,100,500
2.834061861038208,0.02,0.01,100,500
2.8437042236328125,0.02,0.01,100,500
2.8560047149658203,0.02,0.01,100,500
2.8636436462402344,0.02,0.01,100,500
2.871938705444336,0.02,0.01,100,500
2.8768515586853027,0.02,0.01,100,500
2.8857345581054688,0.02,0.01,100,500
2.8988044261932373,0.02,0.01,100,500
2.908951759338379,0.02,0.01,100,500
2.908384323120117,0.02,0.01,100,500
2.9110636711120605,0.02,0.01,100,500
2.9172022342681885,0.02,0.01,100,500
2.926710367202759,0.02,0.01,100,500
2.931896209716797,0.02,0.01,100,500
2.93904185295105,0.02,0.01,100,500
2.9476892948150635,0.02,0.01,100,500
2.963085889816284,0.02,0.01,100,500
2.972242832183838,0.02,0.01,100,500
2.9812817573547363,0.02,0.01,100,500
2.9919626712799072,0.02,0.01,100,500
2.997051954269409,0.02,0.01,100,500
3.003366708755493,0.02,0.01,100,500
3.0127170085906982,0.02,0.01,100,500
3.0193099975585938,0.02,0.01,100,500
3.035902500152588,0.02,0.01,100,500
3.0394434928894043,0.02,0.01,100,500
3.0459372997283936,0.02,0.01,100,500
3.0551342964172363,0.02,0.01,100,500
3.060777187347412,0.02,0.01,100,500
3.071535348892212,0.02,0.01,100,500
3.0833325386047363,0.02,0.01,100,500
3.100487470626831,0.02,0.01,100,500
3.116128444671631,0.02,0.01,100,500
3.124723434448242,0.02,0.01,100,500
3.133073329925537,0.02,0.01,100,500
3.141421318054199,0.02,0.01,100,500
3.158550500869751,0.02,0.01,100,500
3.167651414871216,0.02,0.01,100,500
3.1755878925323486,0.02,0.01,100,500
3.1890902519226074,0.02,0.01,100,500
3.193773031234741,0.02,0.01,100,500
3.2054123878479004,0.02,0.01,100,500
3.2132627964019775,0.02,0.01,100,500
3.2207183837890625,0.02,0.01,100,500
3.230455160140991,0.02,0.01,100,500
3.2416532039642334,0.02,0.01,100,500
3.253762722015381,0.02,0.01,100,500
3.261014938354492,0.02,0.01,100,500
3.27422833442688,0.02,0.01,100,500
3.2841105461120605,0.02,0.01,100,500
3.2845048904418945,0.02,0.01,100,500
3.295372724533081,0.02,0.01,100,500
3.303151845932007,0.02,0.01,100,500
3.3089990615844727,0.02,0.01,100,500
3.318960666656494,0.02,0.01,100,500
3.3264195919036865,0.02,0.01,100,500
3.336524248123169,0.02,0.01,100,500
3.344902992248535,0.02,0.01,100,500
3.351351737976074,0.02,0.01,100,500
3.3581607341766357,0.02,0.01,100,500
3.367297410964966,0.02,0.01,100,500
3.3777008056640625,0.02,0.01,100,500
3.38637638092041,0.02,0.01,100,500
3.396716356277466,0.02,0.01,100,500
3.408795118331909,0.02,0.01,100,500
3.4161226749420166,0.02,0.01,100,500
3.421584367752075,0.02,0.01,100,500
3.4320430755615234,0.02,0.01,100,500
3.443420648574829,0.02,0.01,100,500
3.45097017288208,0.02,0.01,100,500
